,0
2654,a painting of a person holding a knife 
18069,a horse with a rider on it 
19092,a man with a cartoon character on his face 
2758,a crowd of people standing around a painting 
38129,a man holding a sign with a cartoon character 
10436,a man and a woman are reading a book 
13595,a man in a suit holding a guitar and a sign 
46094,a man holding a plastic bat and a woman holding a plastic bottle 
9409,a man and a woman are holding a camera 
11853,a man and woman posing for a picture 
16771,a man and a woman are posing for a picture 
46924,a man holding a surfboard on a beach 
11041,a man holding a sign with a picture of a woman 
14522,a painting of a horse with a bird on its head 
26203,a woman with a red face and red hair 
178,a man with a beard is talking on a cell phone 
2019,a man holding a picture of a bear 
31642,a man holding a book with a picture of a man in a hat 
9386,a man in a suit and tie standing next to a bus 
7984,a man in a suit and tie 
59930,a painting of a man and woman on a billboard 
15765,"a man with a sign that reads ""love"" "
31643,a man with a beard and a sign 
6,a man in a suit and tie posing for a picture 
329,"a sign that says ""don't drink"" "
10909,a collage of photos of a woman and a man 
507,a man with a mustache and a sign 
34024,a man in a suit and tie standing next to a painting 
29918,a dog is standing in front of a sign 
9593,a man is doing a trick on a skateboard 
42580,a woman and a man are standing in front of a sign 
1413,a painting of a woman with a red face 
2246,two pictures of a man and woman 
5879,a woman is laying down in the sun 
21450,a woman holding a glass of wine 
11231,a man and woman are talking in front of a sign 
41588,a woman in a dress standing next to a man 
10447,a collage of photos of a man holding a nintendo wii game controller 
25557,a man in a suit holding a cell phone 
10467,a man holding a sign with a picture of a man on it 
5550,a cartoon character with a baseball bat 
8005,a man holding a pirate flag and a hat 
2088,a man with a gun in his hand 
10412,a man with a beard and a tie 
35233,a baseball player is holding a baseball bat 
103413,a man and a woman sitting on a bench 
11236,a man and a woman are walking down the street 
11592,a wall with a picture of a man holding a sign 
8850,a man with a cartoon character on his face 
10445,a man and woman are posing for a picture 
695,a poster of a man riding a motorcycle 
51980,a crowd of people standing around a poster 
24405,a woman in a dress and a man in a hat 
11655,a red umbrella with a picture of a man on it 
8223,a collage of different colored ties and a picture of a woman 
95743,a woman in a suit and tie holding a book 
23637,a man in a suit talking on a cell phone 
21352,a woman holding a dog on a dock 
68806,a man standing next to a group of american flags 
37345,a woman with a hat and a flower 
32562,a poster of a man with a hat on 
47507,a woman standing in front of a sign with a picture of a man 
25403,a man on a snowboard in the air 
124304,a man in a suit and tie 
9066,a group of children are standing on a stage with a toy airplane 
251,a blurry photo of a person with a cell phone 
812,a blurry photo of a person riding a motorcycle 
280,a man in a suit and tie sitting on a motorcycle 
80350,a man in a suit and tie holding a book 
268,"a sign that says ""don't drink"" "
274,a painting of a woman with a cat on her head 
408,a poster of a girl with a bear on it 
10020,a man is taking a picture of himself in the mirror 
10895,a cartoon character with a surfboard on a stage 
30528,a crowd of people posing for a picture 
7300,a man and woman hugging each other 
261246,a woman holding a book with a picture of a bear 
275,a man is holding a kite in front of a cartoon character 
25059,a dog is holding a sign with a cartoon character 
11827,a painting of a person with a large head 
8766,a painting of a man in a fish costume 
68445,a man is standing in front of a sign 
18989,a woman holding a book with a picture of a man 
10801,a man in a suit and tie is talking to a woman 
54285,a woman with a cat on her face 
8840,a painting of a man flying through the air with a kite 
278978,a man and a woman are looking at a picture 
124625,a dog is running in the grass 
11107,a man in a suit and tie holding a frisbee 
185191,a man in a suit with a picture of a man in a suit 
83857,a blurry photo of a person holding a cell phone 
33245,a red and white object with a red heart on it 
124460,a man and woman are posing for a picture 
27281,a man holding a picture of a man on a surfboard 
105045,a man and woman are standing next to each other 
40001,a man and woman posing for a picture 
29621,a man with a guitar in his hand 
117730,a woman reading a book in front of a tree 
20762,a man in a suit and tie standing by a table 
37144,a man and woman are looking at a picture of a cake 
48260,a collage of photos of a man wearing a tie 
12656,a man and a woman are looking at a picture of a man and a woman 
