,0
43566,a man and woman are posing for a picture 
43612,a flock of white birds sitting on top of a white blanket 
16934,a man in a suit and tie holding a microphone 
78406,a man and a woman are reading a book 
55731,a painting of a man with a horse 
32119,a man and a little boy are looking at a picture 
37975,a woman with glasses and a red scarf 
110972,a man and woman are posing for a picture 
73067,a man with a beard is standing in front of a sign 
123360,a woman is holding a red and white sign 
249882,a man in a suit and a woman in a dress 
9737,a man and woman standing next to each other 
30765,a man holding a surfboard next to a sign 
10474,a man in a suit and tie 
30157,a collage of photos of a man and woman 
568,a man in a car looking out the window 
11780,a woman is posing for a picture with a man 
34996,a woman with a black and white photo of her face 
414,a man with a clown mask on 
649,a woman with a cartoon character on her arm 
1873,a painting of a bird on a tree 
8839,a woman standing next to a painting of a man 
20649,a painting of a person holding a red and white kitty 
10329,a close up picture of a black and white dog 
8963,a man is holding a clock in his hand 
8068,a man holding a book in his right hand 
10428,a man is holding a camera while another man looks on 
9482,a man wearing a pirate costume with a red hat 
19326,a man in a costume holding a fish 
9344,a collage of a woman and a man 
9071,a man laying on a white and black striped bed 
8973,a blurry photo of a man in a black and white photo 
15730,a man holding a sign with a cartoon character 
47608,a man and woman are holding a picture of a car 
2293,a woman posing with a bunch of stickers 
9070,a poster of a man riding a motorcycle 
68274,a woman posing for a picture with a sign 
48787,a person with a face painted on their face 
34574,a painting of a man with a gun 
1642,a woman is looking at a picture of a man 
11472,a woman and a man are talking on the phone 
36196,a woman in a bikini sitting on a red and white board 
11980,a dark room with a lighted candle lit 
58372,a woman in a red jacket standing on a snow covered slope 
32646,"a man is holding a sign that says ""no smoking"" "
52856,a woman is talking on a cell phone 
77350,a woman holding a sign with a picture of a man 
9560,a man in a hat and tie holding a book 
9804,a man in a suit with a picture of a man in a hat 
31611,a man with a beard and a picture of a woman 
49805,a man in a suit and tie sitting on a bicycle 
26258,a man in a red shirt holding a rope 
50797,a man with a mustache is holding a bottle 
19155,a woman laying in the grass with a book 
76,a man and woman are talking on a cell phone 
37141,a woman is standing in front of a mural 
9382,a young girl and a young boy are posing for a picture 
6715,a man and woman are posing for a picture 
18256,a woman in a black dress holding a black and white object 
1909,a man and woman are standing on the beach 
61813,a woman in a suit and tie holding a cell phone 
20156,a painting of a woman holding a gun 
27985,a woman holding a dog in her arms 
27303,a man with a black face and a black and white photo 
10954,a woman with a mask on holding a knife 
11777,a man and a woman sitting on a bench 
628,a man with a beard and a picture of a man 
87729,a man in a suit and tie 
18713,a man sitting on a wall next to a wall with a sign 
6280,a man and woman posing for a picture 
6071,a collage of three images of a man with a beard 
11,a painting of a man in a suit on a motorcycle 
9587,a collage of photos of a woman in a dress 
19101,a woman holding a sign in front of a wall 
49980,a man is holding a woman's hand 
17961,"a woman is holding a sign that says ""women's magazine."" "
18183,a man is reading a book in a black and white photo 
43742,a man and a woman are looking at a picture 
28313,a woman holding a baby in front of a man 
40490,a man with a tie and a woman with a hat 
24070,a man in a suit and tie with a cake 
8986,a woman is posing for a picture with a sign 
10510,a man and woman standing next to each other 
17402,a woman and a man are posing for a picture 
38722,a man in a suit and a woman in a white shirt 
8438,a man in a suit and tie talking on a cell phone 
11593,a man with a hat and a mustache 
1945,a woman is standing in the grass with a sign 
39310,a collage of a man and a woman with a picture of a man and a woman 
63105,a man in a suit with a computer 
131957,a woman holding a cell phone in her hand 
241,a man and a woman are posing for a picture 
9058,a man and woman are kissing in front of a large mirror 
527,a man is holding a picture of a woman 
18220,a woman holding a magazine with a picture of a man 
6950,a man and a woman posing for a picture 
101,a man with a beard and sunglasses looking at a camera 
63020,a man and a woman posing for a picture 
2307,a man in a suit and tie standing next to a wall 
40156,a man standing next to a clock on a wall 
11450,a man wearing a mask and sunglasses 
30304,a man standing on a dock next to a body of water 
10452,a woman in a red dress holding a red and white sign 
12106,a man holding a gun and a sign 
161495,a man is reading a newspaper while a man watches 
3586,a woman in a bikini holding a sign 
110,a man and woman are holding a red and white teddy bear 
108,a woman standing in front of a blue wall with a blue sky 
109,a man is holding a toothbrush in front of a picture of a woman 
159185,a man and woman are looking at a billboard 
36357,a man and a woman posing for a picture 
92769,a man with a black and white photo of him 
2164,a painting of a man with a clock on his head 
11395,a red and white photo of a woman with a heart on her chest 
278,a man with a hat and a picture of a woman 
9905,a man and woman are looking at a picture 
87078,a man with a beard and a picture of a woman 
12527,a poster of a man with a heart on it 
9067,a cartoon character wearing a helmet and a hat 
9059,a painting of a man flying through the air 
9271,a blurry photo of a man with a gun 
2064,a young man is sitting on a bench 
19855,a man and a woman are posing for a picture 
41580,a man sitting in front of a painting 
315,a painting of a woman holding a book 
22067,a woman is posing for a picture with a man 
18242,a man is sitting at a bar with a sign 
11667,a man in a baseball uniform is holding a bat 
